Rank,Athlete,FX,PH,SR,VT,PB,HB,AA,round,year,Nation
1.0,hashimoto daiki japan,14.733,15.075,13.333,15.066,15.2,14.633,88.04,qual,2021,
2.0,zhang boheng china,14.133,14.666,14.866,14.766,15.3,14.166,87.897,qual,2021,
3.0,adem asil turkey,14.066,12.666,14.533,14.966,14.366,13.833,84.43,qual,2021,
4.0,shi cong china,13.2,13.466,13.933,14.233,15.2,13.866,83.898,qual,2021,
5.0,illia kovtun ukraine,14.333,13.766,12.5,14.066,14.7,14.2,83.565,qual,2021,
6.0,krisztofer meszaros hungary,14.033,13.6,12.933,14.2,14.566,13.3,82.632,qual,2021,
7.0,ilias georgiou cyprus,13.633,11.866,13.5,14.366,14.766,14.233,82.364,qual,2021,
8.0,ahmet önder turkey,13.4,12.866,13.933,14.2,14.7,12.966,82.065,qual,2021,
9.0,joel plata spain,14.133,13.633,13.3,14.066,13.666,13.1,81.898,qual,2021,
10.0,robert tvorogal lithuania,13.433,13.233,13.1,13.8,14.6,13.6,81.766,qual,2021,
11.0,william emard canada,13.9,11.233,14.733,14.666,13.833,13.133,81.498,qual,2021,
12.0,luka van den keybus belgium,13.966,12.7,12.433,14.333,14.0,13.666,81.098,qual,2021,
13.0,yul moldauer united states,14.433,10.633,13.466,14.433,14.866,13.233,81.064,qual,2021,
14.0,henji mboyo switzerland,13.1,12.966,13.333,13.833,13.933,13.8,80.965,qual,2021,
15.0,joshua nathan great britain,13.433,15.033,12.6,14.4,12.133,13.166,80.765,qual,2021,
16.0,milad karimi kazakhstan,14.941,11.6,12.133,12.966,14.633,14.433,80.706,qual,2021,
17.0,caio souza brazil,13.666,10.233,14.033,14.666,14.8,13.2,80.598,qual,2021,
18.0,nestor abad spain,14.233,12.933,13.466,13.8,13.566,12.5,80.498,qual,2021,
19.0,sofus heggemsnes norway,12.966,13.366,13.0,14.233,13.933,13.3,80.498,qual,2021,
20.0,jossimar calvo colombia,13.3,13.433,12.3,14.3,13.866,12.866,80.065,qual,2021,
21.0,oskar kirmes finland,13.733,12.766,12.2,13.766,13.933,12.9,79.298,qual,2021,
22.0,eyal indig israel,12.6,14.066,12.4,13.933,13.5,12.6,79.099,qual,2021,
23.0,nikita ignatyev russia,12.366,11.866,12.766,14.008,13.5,13.433,77.939,qual,2021,
24.0,noah kuavita belgium,13.6,12.5,11.966,14.2,11.3,14.066,77.632,qual,2021,
