Date,Last,Volume,Open,High,Low
09/08/2020, 112.82, 231366600, 113.95, 118.99, 112.68
09/04/2020, 120.96, 332607200, 120.07, 123.7, 110.89
09/03/2020, 120.88, 257599600, 126.91, 128.84, 120.5
09/02/2020, 131.4, 200119000, 137.59, 137.98, 127
09/01/2020, 134.18, 152470100, 132.76, 134.8, 130.53
08/31/2020, 129.04, 225702700, 127.58, 131, 126
08/28/2020, 124.8075, 187629920, 126.0125, 126.4425, 124.5775
08/27/2020, 125.01, 155552400, 127.1425, 127.485, 123.8325
08/26/2020, 126.5225, 163022280, 126.1793, 126.9925, 125.0825
08/25/2020, 124.825, 211495800, 124.6975, 125.1793, 123.0525
08/24/2020, 125.8575, 345937760, 128.6975, 128.785, 123.9363
08/21/2020, 124.37, 338054640, 119.2625, 124.868, 119.25
08/20/2020, 118.275, 126907200, 115.75, 118.392, 115.7334
08/19/2020, 115.7075, 145538000, 115.9833, 117.1625, 115.61
08/18/2020, 115.5625, 105633560, 114.3525, 116, 114.0075
08/17/2020, 114.6075, 119561440, 116.0625, 116.0875, 113.9625
08/14/2020, 114.9075, 165565200, 114.8288, 115, 113.045
08/13/2020, 115.01, 210082080, 114.43, 116.0425, 113.9275
08/12/2020, 113.01, 165944840, 110.4975, 113.275, 110.2975
08/11/2020, 109.375, 187902360, 111.9688, 112.4825, 109.1067
08/10/2020, 112.7275, 212403440, 112.6, 113.775, 110
